"classes_vegetais","categ_veg"
"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente","classe_13"
"Vegetação herbáceo-arbustiva","classe_14"
"Maciços florestais heterogêneos e bosques urbanos","classe_9"
"Baixa cobertura arbórea, arbóreo-arbustiva e ou arborescente","classe_11"
"Agricultura","classe_12"
"Mista","classe_15"
"Floresta paludosa e ou de várzea","classe_5"
"Floresta ombrófila densa secundária em estágio inicial","classe_3"
"Vegetação herbáceo-arbustiva de várzea ou de brejo","classe_7"
"Maciços florestais homogêneos","classe_10"
"Floresta ombrófila densa secundária em estágio médio","classe_2"
"Floresta ombrófila densa secundária em estágio avançado e floresta ombrófila densa primária","classe_1"
"Vegetação aquática flutuante","classe_8"
"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente","classe_11"
"Média a alta cobertura arbórea, arbórea-arbustiva e ou arborescente","classe_13"
"Floresta ombrófila densa alto-montana (mata nebular)","classe_4"
"Campos alto-montanos","classe_6"
